Id,Predicted
46785369,2
38908667,2
44703012,2
34910435,0
51632121,1
51606103,2
40083517,2
46156990,2
46216185,0
35176091,2
41592091,2
47609056,2
48048515,2
49749416,2
56571857,2
41129797,2
39297298,2
43195488,2
57340413,2
44998790,2
49095366,0
51944164,2
46021362,1
41866944,2
58408846,2
57680276,2
43584685,2
52852190,2
50729073,1
46721369,0
39595441,0
45840215,2
35370646,2
37467110,2
51349801,2
48311972,2
52199554,2
40215052,2
39513374,2
53794754,2
59871597,2
56259618,2
54468282,2
49793128,1
43982799,2
34993410,2
35517537,2
57576924,2
49002863,2
39343700,2
45929687,0
53355578,0
58138849,2
39805210,0
46189120,2
36357081,2
44641877,2
55890062,2
34711766,0
53048746,2
49393231,2
53082708,2
41408552,2
57840042,2
38974623,2
36396293,2
35451154,2
49444615,2
58520295,2
40568745,2
50408763,2
39576845,2
37341967,2
51674140,2
42375468,2
42874923,2
49043769,2
49596035,2
38369232,2
59226549,2
38602459,0
35878178,2
35295134,1
42986950,2
60055191,2
35353368,2
53801269,2
42425582,1
44647103,2
46235915,2
48839195,2
38758902,2
55780661,2
34568011,2
50341680,2
36118785,2
57585980,2
38659645,2
38037324,2
34997678,2
50036393,2
40017746,2
39340055,2
38836788,2
53773295,2
53029346,1
55811381,2
34932253,2
46517521,2
42978358,2
53136312,2
44447288,2
38840028,0
47996329,0
42876244,1
59831905,2
45689901,2
40104249,2
48667522,2
40201939,2
52689538,2
48758106,2
38928380,2
59540321,1
38479889,2
41304311,2
38384750,1
45081025,2
39730726,2
36478901,0
53314154,2
55958925,2
49897130,2
50977399,2
38287456,2
54038468,1
55554245,2
52836263,1
53290364,2
59180598,1
59279991,2
39646114,0
41118194,2
43225237,2
38067165,2
44731420,2
42398012,2
37957853,2
51767234,1
50162319,2
50449123,2
39195113,2
39457795,2
49796295,2
34829167,1
50187021,2
55651283,2
51840459,2
47944063,2
36962037,2
46530527,0
44154173,2
40697488,2
56980811,2
39802157,2
48253839,2
41441266,2
42469283,2
48680507,0
42600368,0
48230230,2
37784605,0
40390411,2
45247608,2
55890151,2
37507852,2
36022892,0
55013760,2
51240567,2
39460512,2
39601345,2
36086913,2
53954644,1
37414559,2
48909481,2
55289342,2
45078919,2
36872789,2
41188725,2
40987526,2
52282646,2
38898028,1
42980241,0
49547023,1
39683516,2
39565285,2
41899810,2
53901967,2
39066729,1
58509249,2
47110656,2
41775470,2
39027437,2
49948976,2
59164818,2
42507969,2
53208676,2
41639478,2
59701341,2
39883915,2
36987864,2
47026804,2
45205379,2
58613831,2
38666719,2
37750270,0
38909153,2
34929095,2
42387195,1
39460503,2
46170884,2
60237488,2
37008709,2
42117869,1
34794067,2
59813828,2
37213696,2
50944194,2
35345927,0
49174342,2
44580970,0
41155344,2
36017290,2
39281482,2
50796788,2
42241371,2
58055941,2
40201711,2
58018542,2
36742907,2
40616272,2
41801718,2
45461560,2
46694057,2
49993887,2
41138820,2
59090842,1
34761047,2
48201091,2
41038238,2
49250833,2
48049720,2
55549267,2
45601091,2
51678660,2
36787467,2
35983775,2
46504322,2
48220766,1
54714968,2
38281748,1
35178808,2
34682035,2
38275583,2
57129668,2
40909902,2
40983787,2
55386244,2
50856080,2
54394548,2
46781503,0
53212902,2
49172264,2
34584356,0
54685140,2
52230639,2
41741532,0
40983371,2
54921435,2
48599822,2
45240387,1
34668175,1
53854198,2
46083789,2
38262526,2
49762487,2
40680885,2
47947659,0
41319693,2
46164021,2
49049308,2
56343003,1
36963844,2
49562454,0
34937379,2
37470424,2
35364239,2
38307739,1
57469676,2
39796511,2
39871440,2
37737308,1
50224676,2
46515468,2
38557585,2
52291236,2
57048097,2
58308266,2
46100200,2
36104500,2
36148741,2
37350790,2
41986066,0
44287255,2
34719253,2
40805663,2
60235508,0
36186193,0
44330079,2
35659363,2
47962571,2
43166169,0
49763463,2
35155824,2
51978816,2
50725213,0
53583212,2
53120033,2
40718754,2
36222224,2
50708012,2
43777949,2
52685386,2
38110113,2
37106051,2
35216151,0
43491971,1
41092677,2
37801596,2
59409737,2
38358815,2
35130051,2
41733406,2
55319570,1
48078636,2
52241365,2
54532817,2
35157799,2
35934354,2
46449370,2
42054082,0
43741001,1
44131354,2
36011595,2
34975535,2
50314103,2
37314598,2
37427332,2
49771603,2
41015813,2
40684617,2
53695705,2
41736567,2
37127095,2
46434830,2
57117121,0
39598030,2
37883981,0
42864835,2
51397282,2
45565832,2
42064377,2
35484217,2
42490291,0
41463867,0
51238847,0
45239099,2
53914951,0
42609890,2
45183911,2
44623056,2
35192264,2
41968255,2
56506550,0
37557643,2
42793220,0
42072538,2
45053373,2
38707822,2
40937787,2
35379389,2
36464708,0
34600588,2
35835993,2
42042906,0
58087446,2
35980134,2
41326911,2
54526900,2
44745604,2
49695393,2
46350038,2
60384526,0
37949226,2
53111313,2
44927472,2
37439417,2
48378079,2
46935337,2
51009376,2
36729206,2
37160732,2
40144731,2
41798670,2
43914506,2
46995313,0
51561189,0
46146491,2
50524207,1
51128480,2
53155945,1
56237097,2
36971302,2
55571520,2
46360848,2
41310279,2
45821085,0
49574053,2
49962417,2
57266154,2
37242721,2
35389897,2
51523457,1
57951548,2
37845295,2
40996175,2
35178135,1
39231761,2
56958575,1
37191966,2
51852369,2
47978171,2
51376589,2
40010727,1
37790483,2
37242316,2
50779762,2
34606682,0
59695139,2
48976338,0
44611325,2
45331612,0
50175206,2
49880015,2
48092523,2
37379101,2
39907915,1
35703258,2
53712113,2
50801770,2
36174919,0
57079483,1
50285596,2
55277763,2
45811061,2
41622613,2
48678488,2
48529560,2
43963220,2
54827201,2
37075871,2
51914592,2
39350042,2
49448193,2
41505956,2
39298917,1
45799639,2
48396221,2
47841362,2
37927772,2
44265650,0
52067819,2
39174188,2
40988023,2
40793427,0
57938930,0
40720703,2
57610578,2
52672137,2
54346647,2
37078511,2
43196577,1
53457474,2
44695116,2
48484768,2
41907587,2
39754070,2
53522696,2
37960967,2
51001377,2
46187525,2
39360328,2
49381864,2
50667300,2
36846837,2
41593538,2
52238351,2
44779907,2
50785925,2
45053624,1
53934357,2
42531766,2
40453117,2
46625730,2
45247983,2
38221986,2
42757892,2
57777104,2
38867917,2
52579875,2
42726804,2
55356803,2
43919927,0
48597040,2
40072873,2
39191950,2
45999131,2
45032009,2
54598085,2
36179245,2
53196126,0
52258053,2
52278035,2
48524527,2
46070136,2
51232051,2
50097790,2
59990837,2
35319680,1
46112258,2
49019652,2
49711773,0
48248038,0
47489180,2
37158445,2
34566901,2
59923613,2
40221379,1
41079361,2
35158573,0
51588778,2
49488988,2
44224349,2
41920124,2
55456984,2
55170569,2
51659435,2
39683151,2
45990898,2
43803851,2
42629925,2
53653417,0
40524253,2
50801784,2
35110777,1
50557462,2
45491164,2
49208369,2
52836508,2
46277611,2
34880551,2
44563009,2
49040810,2
39532953,2
37961965,2
37629081,2
44970728,2
42439370,2
40153045,2
44639429,2
40707027,2
50460657,2
50186125,2
42668595,2
58621830,2
46654844,2
50250789,2
54244683,1
57849211,2
42708257,2
45265751,2
39332010,2
51753118,2
36419087,2
39805590,2
46862779,2
56966019,1
34915886,2
41141108,2
35456295,2
54077496,2
44861978,2
42683600,2
59123445,2
49977114,0
59864934,2
42904494,2
59672867,2
41542847,2
47951466,2
59991809,2
48513801,2
52824958,2
36137810,2
40438058,2
44045311,0
47892646,1
38769589,1
39055100,2
38244414,2
49816669,0
40543610,0
36634809,0
45315583,2
46718620,2
45776319,1
45111036,2
55371957,2
49097037,2
44180394,2
49992491,2
36898525,1
51712064,2
38702032,2
42173926,2
37352454,2
40333653,2
36684926,2
48017130,2
49447663,2
38793081,2
40478343,2
34841065,2
48761771,0
60384944,1
43225766,1
40204025,2
51907063,2
48520166,2
42039069,2
41048914,2
56247780,2
36859397,0
40375258,2
39740128,2
48043247,2
34644117,2
34820755,0
46985355,2
43154963,2
56172373,0
48958688,2
47037248,2
52483124,2
38193278,2
51519176,2
57408366,2
60355455,2
38916452,2
46906079,2
35796560,2
54655756,2
43178929,2
38799671,2
53048852,2
48572733,2
35605664,2
34598845,1
53498918,2
50739969,1
38693259,2
41999094,2
50453705,2
43963982,1
35972859,2
40382505,2
40111322,2
39613838,2
48787078,2
48956904,2
38200185,0
36010984,2
55029140,2
45045018,2
59072266,2
51925871,2
48412244,2
51270381,2
40395353,2
57204314,2
39458679,2
44098133,2
51892565,2
35953394,1
46731729,0
48080341,2
38070627,2
56571349,2
37040510,2
52571362,2
41306593,2
55669069,2
49353920,1
40678206,2
58001156,1
48337330,2
53888134,0
43971234,2
54972227,2
46319726,2
44363483,2
53252029,2
59547011,1
45842139,2
36535112,2
39573571,2
42497462,2
45882766,0
51019622,2
54842575,1
54126278,0
39638751,2
49819683,2
55105911,2
43600967,2
35751151,2
45605979,2
51591352,2
44617859,2
53405271,2
42771344,2
35308850,1
45507415,2
47926273,2
44335970,0
41592363,2
43855192,2
53829852,2
54842989,2
42090800,2
42489499,2
54197130,2
51565312,2
54207073,2
52861460,2
45400553,0
54576441,2
59753851,2
42268243,2
51847689,2
42189790,1
50589989,2
35067656,2
35452074,2
36092172,2
48360063,2
